"peer_type","peer_id","title","is_group","is_channel","is_user","unread_count"
"user","7798788251","Chriztian","False","False","True","2"
"channel","1651506661","×ھ×‍×™×›×” ×ک×›× ×™×ھ","True","True","False","0"
"user","7414488710","×›×™×•×•×ں ×‍×¨×›×– ×¨×‍×ھ ×’×ں ×—×•×œ×•×ں ×‘×ھ ×™×‌","False","False","True","0"
"user","7332328573","(no title)","False","False","True","0"
"user","8476843528","(no title)","False","False","True","0"
"user","909623698","L","False","False","True","0"
"user","576931067","Control bot","False","False","True","0"
"user","6511860356","Trojan on Solana","False","False","True","0"
"user","7835084274","ظ…ط§ط­ظ…ظˆط¯","False","False","True","1"
"user","8498450341","×‘×¨×§","False","False","True","0"
"user","394729779","Hulk","False","False","True","0"
"user","1185887485","×¦×‘×™×§×•×©","False","False","True","0"
"channel","3488577626","×”×©×§×¢×•×ھ","True","True","False","0"
"user","8229198489","×ک×•×‘×”","False","False","True","0"
"user","8439200632","(no title)","False","False","True","0"
"user","8435910767","(no title)","False","False","True","0"
"user","1929049105","×™×•×،×£","False","False","True","0"
"user","8252614196","(no title)","False","False","True","0"
"user","2118509116","@idosilverstein ×¢×™×“×• ×¢×‍×™×—×™ ×گ×‘×¨×”×‌ Ido Amichai Abraham","False","False","True","0"
"user","8088324234","×گ×œ×™×¢×–×¨","False","False","True","0"
"channel","1116368038","Menu Builder - News","False","True","False","86"
"user","5573556599","Arad 629","False","False","True","0"
"user","8274046661","(no title)","False","False","True","0"
"user","7728721922","Hhhh","False","False","True","0"
"user","8351895620","×“× ×™×گ×œ ×‍×™×‍×•×ں","False","False","True","1"
"user","8250202356","×œ×™×–×”","False","False","True","1"
"channel","1715002863","LOG_TRANSACTIONS_CHAT","True","True","False","0"
"chat","5093005461","×گ×•×،×™×£ ×¦×‘×™×§×” ×گ×œ×™","True","False","False","0"
"user","429000","Stickers","False","False","True","0"
"channel","1640307734","×‍×ک×œ×•×ھ","True","True","False","0"
"chat","436237155","×§×‘×•×¦×” ×—×“×©×” ×œ×œ×گ ID","True","False","False","0"
"user","8516338216","×گ×œ×—× ×ں\n×‘×™""×،\n","False","False","True","0"
"user","8031298603","ذœذ°ر€ذ؛","False","False","True","0"
"user","211246197","Telegram Bot Raw","False","False","True","0"
"user","547043436","SampleBot","False","False","True","0"
